userId,date,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,taskTime1,taskTime2,taskTime3,taskTime4,taskTime5,taskTime6,taskTime7,taskTime8,taskTime9,taskTime10,,,
admin,2025-04-01,〇〇〇システム開発,社内定例会議,△△△△△△基幹システム改修,,,,,,,,03:00:00,01:30:00,03:30:00,,,,,,,,,,
admin,2025-04-02,××××データベース調査,社内定例会議,□□□□□コードレビュー対応,△△△△△△基幹システム改修,,,,,,,02:00:00,01:30:00,02:30:00,02:00:00,,,,,,,,,
admin,2025-04-03,〇〇〇システム開発,××××データベース調査,社内定例会議,△△△△△△基幹システム改修,,,,,,,03:00:00,02:00:00,01:30:00,01:30:00,,,,,,,,,
admin,2025-04-04,□□□□□コードレビュー対応,社内定例会議,△△△△△△基幹システム改修,××××データベース調査,,,,,,,01:30:00,02:00:00,02:30:00,02:00:00,,,,,,,,,
admin,2025-04-05,〇〇〇システム開発,××××データベース調査,社内定例会議,,,,,,,,03:00:00,03:00:00,02:00:00,,,,,,,,,,
admin,2025-04-06,△△△△△△基幹システム改修,□□□□□コードレビュー対応,社内定例会議,××××データベース調査,,,,,,,02:00:00,02:30:00,01:30:00,02:00:00,,,,,,,,,
admin,2025-04-07,〇〇〇システム開発,社内定例会議,××××データベース調査,,,,,,,,04:00:00,02:00:00,02:00:00,,,,,,,,,,
admin,2025-04-08,××××データベース調査,△△△△△△基幹システム改修,□□□□□コードレビュー対応,,,,,,,,02:30:00,03:30:00,02:00:00,,,,,,,,,,
admin,2025-04-09,社内定例会議,〇〇〇システム開発,××××データベース調査,□□□□□コードレビュー対応,,,,,,,01:30:00,03:00:00,02:00:00,01:30:00,,,,,,,,,
admin,2025-04-10,△△△△△△基幹システム改修,××××データベース調査,□□□□□コードレビュー対応,〇〇〇システム開発,社内定例会議,,,,,,01:00:00,01:30:00,02:00:00,02:00:00,02:00:00,,,,,,,,
